N,P,K,temperature,humidity,ph,rainfall,label,ndvi,elevation,slope
27,71,23,23.45379018,46.48714759,7.10959773,150.87122019999995,pigeonpeas,0.454,280.99,7.86
17,73,18,19.50112224,34.51086611,5.632353113,197.3752649,pigeonpeas,0.402,129.06,10.89
90,37,40,24.77,74.8,6.368,186.44,pomelo,0.72,136.06,0.39
60,43,54,26.06,72.46,6.891,150.9,durian,0.763,70.21,12.86
42,48,51,26.55,83.36,5.83,259.02,cacao,0.736,294.53,6.27
92,67,63,25.74,91.39,5.55,182.58,rice,0.732,78.91,1.71
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,blackgram,0.506,164.65,9.93
37,36,27,27.552973600000005,47.90859131,5.910634533,90.40332704,mango,0.405,122.04,8.51
1,66,23,19.54317155,56.92831399,4.803564468,173.1686574,pigeonpeas,0.497,79.76,11.13
2,38,18,27.53632932,89.92908171,6.619891497999999,45.48591922,mungbean,0.32,190.32,8.58
105,29,65,25.75,74.44,6.198,289.85,rubber,0.817,130.3,8.58
79,19,29,29.15,76.9,5.829,155.33,cassava,0.616,14.98,0.23
44,58,18,28.03644051,65.06601664,6.814410927999999,72.49507741,blackgram,0.512,65.69,2.95
99,39,69,29.95,76.88,6.988,158.34,durian,0.742,167.92,6.81
61,50,40,26.89,88.09,5.62,227.45,abaca,0.803,108.67,7.23
47,25,58,30.57,73.55,6.961,161.74,pomelo,0.547,184.82,9.58
52,33,57,29.71,71.31,6.105,150.04,coconut,0.758,55.58,3.89
95,12,46,26.21667586,81.01009354,6.32281728,54.65423596,watermelon,0.486,51.07,7.46
92,28,49,26.1,89.12,6.232,220.43,rubber,0.772,427.19,5.39
94,34,41,25.16,74.76,6.439,114.68,cassava,0.652,213.57,0.27
60,47,51,26.44,76.48,5.864,237.51,durian,0.671,95.61,4.01
70,53,52,26.9,74.3,6.101,85.37,mango,0.39,66.97,4.92
74,38,57,29.07,81.59,6.013,136.45,sweet potato,0.682,81.77,12.82
21,63,22,25.09737391,67.72837887,6.859409487000001,74.61649888,blackgram,0.482,47.5,0.71
87,40,66,29.37,86.84,6.199,205.35,durian,0.554,22.3,4.12
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice,0.703,57.54,1.65
62,24,51,26.59,67.73,6.629,126.57,sweet potato,0.619,136.82,7.66
63,62,37,30.06,69.12,6.49,120.38,papaya,0.615,160.17,4.61
42,44,71,30.41,74.03,6.487,129.06,coconut,0.679,79.9,3.03
36,61,21,34.53823889,39.04468913,5.617008201,168.5948318,pigeonpeas,0.316,160.55,7.68
73,45,33,30.51,72.03,6.904,129.5,watermelon,0.581,98.55,7.16
41,27,55,31.53,64.32,5.91,144.58,cassava,0.646,118.05,8.72
108,44,59,25.58,79.46,6.163,230.23,cacao,0.701,263.91,7.09
54,23,53,29.53,63.13,6.91,170.51,cassava,0.502,122.02,11.13
112,35,60,24.98,78.4,5.683,233.06,cacao,0.65,151.59,2.35
92,20,55,25.10474753,87.52676159999999,6.5877912620000005,59.26519444,watermelon,0.461,66.51,4.22
102,71,50,25.08,84.67,6.761,135.65,banana,0.67,128.35,6.54
66,69,47,23.69212243,93.61055571,6.912299695,87.53393983,papaya,0.605,120.91,5.42
93,41,47,25.38,81.93,5.773,219.03,cacao,0.605,352.12,9.32
76,36,46,26.07,68.8,5.742,172.3,sweet potato,0.567,183.91,11.49
88,43,57,27.57,79.08,6.288,170.76,cacao,0.869,372.05,13.03
112,47,52,25.46,78.59,6.477,111.49,maize,0.506,125.29,4.77
60,43,54,26.06,72.46,6.891,150.9,durian,0.763,70.21,12.86
77,40,61,27.71,79.36,5.703,212.44,cacao,0.711,384.59,10.13
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,banana,0.711,51.39,7.95
79,38,54,28.9,86.26,6.601,87.66,papaya,0.644,115.15,2.14
55,44,61,26.1,81.68,7.044,127.4,coconut,0.617,24.57,4.53
70,44,64,26.92,85.58,6.606,122.98,rice,0.491,31.92,1.44
76,45,46,26.12,87.57,5.464,219.58,rubber,0.659,67.88,6.29
98,72,58,26.95,74.33,5.629,160.48,banana,0.757,49.38,3.77
41,78,21,25.19857725,60.37332688,6.581313137,70.88787207,blackgram,0.643,224.54,1.95
98,59,51,27.67,85.2,5.57,255.28,rice,0.536,8.15,3.09
68,30,51,32.43,71.63,7.008,123.93,cassava,0.611,51.2,4.45
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,mungbean,0.349,116.28,9.82
26,64,22,25.95058595,40.58227261,5.16516459,109.1821183,pigeonpeas,0.542,128.28,5.25
65,62,51,31.53243779,90.87394933,6.5116248410000015,207.0735119,papaya,0.591,25.34,9.5
101,46,57,24.28,77.36,7.093,145.6,papaya,0.79,27.29,5.68
92,40,71,27.61,70.34,6.812,123.9,coconut,0.67,64.7,7.75
52,30,62,31.98,63.1,5.949,121.64,mango,0.453,132.79,11.3
111,47,49,26.42,82.64,5.905,302.88,abaca,0.605,344.68,7.07
46,36,43,28.64,87.69,5.974,253.54,abaca,0.598,439.85,8.4
54,66,52,36.56769731,93.79503425,6.867554147000001,104.4218596,papaya,0.629,33.59,3.83
48,36,52,28.4,80.6,5.908,245.11,abaca,0.644,355.24,16.79
33,26,36,31.79,78.17,7.065,90.94,mango,0.575,227.9,5.39
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,pigeonpeas,0.567,322.13,7.22
47,50,46,30.17,73.57,6.776,79.42,mango,0.588,188.85,1.66
42,59,55,40.10207731,94.35110201,6.979102243,149.1199989,papaya,0.505,91.32,4.5
96,47,51,30.42,80.44,6.683,242.24,durian,0.825,306.89,7.28
94,73,48,27.8,86.1,5.846,218.55,banana,0.608,110.62,5.28
25,64,20,33.15122581,32.45974539,4.807776748999999,105.03802749999998,pigeonpeas,0.567,252.76,8.11
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,blackgram,0.325,20.13,1.84
93,44,49,26.05,87.25,6.356,238.43,abaca,0.62,114.62,3.25
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,banana,0.719,194.82,4.01
54,32,40,26.64,83.18,6.984,192.57,pomelo,0.77,91.55,7.33
101,44,64,28.25,82.8,6.56,200.87,durian,0.711,114.0,1.32
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize,0.647,230.77,0.82
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,banana,0.617,93.49,5.98
35,41,61,30.88,74.32,6.848,184.47,papaya,0.625,82.1,0.78
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,0.658,146.89,11.55
21,63,22,25.09737391,67.72837887,6.859409487000001,74.61649888,blackgram,0.358,235.05,0.46
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,banana,0.83,217.2,6.6
16,55,19,19.54314136,47.19188279,6.413543781,192.4372194,pigeonpeas,0.464,21.81,9.3
55,36,54,26.35,84.83,6.708,165.55,coconut,0.729,80.68,4.25
15,36,27,27.78912455,53.96886679,5.6437102160000014,91.01152997,mango,0.624,94.68,2.56
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,mungbean,0.621,21.44,2.73
118,88,52,28.65003945,82.68752542,5.8431631610000005,98.75084366,banana,0.693,259.09,2.02
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,0.536,49.73,1.49
109,34,49,27.2,80.95,6.599,257.62,durian,0.761,232.44,5.36
46,35,49,30.25,72.43,6.474,173.57,durian,0.649,279.04,3.5
103,49,46,28.34,82.93,6.76,314.14,abaca,0.649,208.78,16.43
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,blackgram,0.604,239.1,1.1
96,47,51,27.9,77.59,5.887,89.88,papaya,0.74,11.93,1.69
91,44,44,26.64,82.34,5.808,125.26,rice,0.552,18.65,4.39
40,43,41,27.99,87.76,4.985,272.93,rubber,0.631,64.68,4.97
71,31,68,30.47,70.56,6.605,214.39,coconut,0.456,65.96,6.86
37,77,17,36.20970524,31.94550613,5.617122801,191.0658531,pigeonpeas,0.357,6.91,4.44
27,57,24,27.33534897,43.35795962,6.09186275,142.33036769999995,pigeonpeas,0.521,148.08,4.43
104,34,41,29.99,73.72,4.989,287.17,rubber,0.742,337.53,5.6
55,37,71,28.32,76.72,6.587,120.7,coconut,0.479,105.75,0.62
109,35,47,30.66,73.58,6.118,204.46,durian,0.795,186.7,10.72
44,26,55,27.36,79.63,6.776,130.86,coconut,0.634,31.57,5.8
4,69,19,19.25100056,47.70351758,5.374358869,149.063196,pigeonpeas,0.623,36.53,9.69
29,36,25,28.28511547,88.4393979,7.130278657000001,48.56690235,mungbean,0.536,87.62,8.01
58,20,36,30.65,75.89,5.67,102.0,cassava,0.353,179.03,4.13
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,0.522,12.95,3.98
92,28,49,25.3,80.88,5.303,212.4,rubber,0.868,123.08,6.98
77,40,35,31.89,81.41,6.935,124.26,sweet potato,0.389,56.5,7.01
50,38,48,24.42,84.27,6.416,218.38,abaca,0.812,353.75,14.84
71,60,42,30.05,91.83,5.67,223.19,rice,0.79,54.05,4.7
107,49,47,26.82,91.2,6.304,253.65,abaca,0.793,343.69,5.9
47,36,63,26.37,70.97,5.862,113.59,pomelo,0.542,132.63,6.68
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean,0.353,82.2,5.67
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,blackgram,0.388,204.82,3.26
28,35,51,28.0,73.18,7.213,91.75,cassava,0.591,102.21,2.47
116,64,51,29.13,79.34,6.11,74.25,banana,0.663,54.18,5.7
28,75,21,24.7741949,50.54621094,6.007508163,114.2821387,pigeonpeas,0.437,56.24,4.93
34,61,49,28.12971499,93.3210737,6.502675132,117.8201907,papaya,0.506,94.73,3.18
61,58,41,29.44,82.22,5.906,98.4,maize,0.53,118.24,7.47
101,37,50,25.93,79.51,6.096,100.67,papaya,0.615,177.73,4.68
102,14,52,26.79489868,89.64815231,6.51075991,57.74091817,watermelon,0.579,138.24,4.66
56,39,51,27.68,87.52,5.611,182.01,cacao,0.812,59.89,13.44
78,55,42,26.91,76.28,6.573,110.1,watermelon,0.375,51.61,7.0
71,42,71,26.53,76.62,6.85,203.21,coconut,0.817,33.35,3.99
3,9,35,26.91641934,99.84671638,6.318552972999999,225.6323656,coconut,0.593,119.85,7.5
86,26,46,25.84,65.87,5.984,96.76,sweet potato,0.362,181.54,8.67
40,31,48,25.69,74.91,7.363,65.94,mango,0.511,247.09,7.19
119,57,55,28.1,83.69,6.717,79.6,banana,0.847,56.17,3.55
43,18,46,27.02,69.12,5.665,140.65,cassava,0.386,208.98,9.77
67,28,64,24.13,66.11,6.482,127.58,sweet potato,0.714,199.62,13.39
44,54,45,32.35,83.33,6.653,92.74,papaya,0.552,193.77,3.19
31,26,38,29.76,66.4,6.033,156.25,cassava,0.44,111.57,8.34
27,21,30,35.3915464,52.48823147,5.061081874,91.22881052,mango,0.724,62.66,3.41
35,30,34,28.2974764,95.41122824,6.141502001,182.4482352,coconut,0.787,112.27,3.67
38,55,19,33.18184225,38.23184742,5.864623352000001,198.8298806,pigeonpeas,0.618,91.49,7.86
59,63,18,31.65531175,60.13263713,6.52669158,66.69096751,blackgram,0.403,103.38,8.45
86,20,49,31.29,67.07,5.575,171.78,cassava,0.399,137.94,3.29
35,71,17,29.89286629,66.35375127,6.931924962999999,198.1403003,pigeonpeas,0.501,307.27,3.04
87,40,66,29.37,86.84,6.199,205.35,durian,0.554,22.3,4.12
63,39,32,27.87,81.18,6.931,60.12,maize,0.671,114.55,5.8
19,53,22,27.8640132,80.4513142,6.852884642999999,42.83053902,mungbean,0.413,196.54,2.8
46,46,54,27.61,82.21,5.994,248.21,abaca,0.587,172.06,9.12
68,50,52,24.92,85.14,5.674,211.35,abaca,0.682,242.3,17.66
27,64,21,32.84213012,68.68401492,7.543804222999999,73.67166182,blackgram,0.39,214.37,8.85
67,68,49,35.26824831,92.38282957,6.821774589,149.8488208,papaya,0.662,160.05,0.8
14,74,19,18.39759147,36.82639309,6.624966131,93.12330644,pigeonpeas,0.586,82.27,7.27
69,19,48,26.63,77.52,6.514,170.66,sweet potato,0.46,153.04,9.35
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,0.387,141.9,10.33
25,76,17,31.74105409,68.63525428,7.241148507,62.3061735,blackgram,0.397,96.31,9.22
106,71,66,25.77,77.21,5.903,107.49,banana,0.755,98.72,2.86
79,32,54,28.43,79.7,6.647,229.89,cacao,0.636,257.87,13.83
67,34,59,29.9,64.82,6.073,148.55,sweet potato,0.623,1.11,3.65
98,38,48,29.96,75.95,6.659,122.47,sweet potato,0.624,258.69,4.83
113,57,63,30.79,88.26,6.714,190.2,banana,0.802,6.0,3.73
32,22,46,32.91,66.0,7.25,156.66,cassava,0.477,183.53,1.25
47,41,43,30.36,76.62,5.208,204.22,rubber,0.681,92.94,13.16
27,42,41,32.34,76.15,6.151,131.08,mango,0.643,44.26,5.2
88,35,47,28.73,90.11,5.956,190.81,abaca,0.628,126.97,4.85
79,27,59,31.35,58.66,7.135,84.51,mango,0.645,113.75,11.84
67,56,56,27.51,66.39,5.885,86.52,maize,0.402,103.19,9.63
48,21,34,31.48,70.59,6.401,122.39,cassava,0.528,236.26,6.58
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,banana,0.622,140.61,0.13
36,39,60,25.0,86.5,5.361,211.63,rubber,0.695,302.11,9.07
80,41,57,28.26,80.4,5.774,242.6,cacao,0.662,247.4,12.95
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,mungbean,0.579,38.49,3.7
88,44,43,26.76,88.89,6.182,191.96,abaca,0.852,271.66,12.21
63,44,47,30.12,60.07,6.298,129.36,mango,0.72,44.68,0.99
4,59,25,27.68515114,81.94268594,6.227134139,54.62243308,mungbean,0.627,78.94,2.57
57,60,17,26.23773129,67.88521396,7.504608385,73.58663968,blackgram,0.328,214.41,5.68
77,40,61,33.28,79.24,6.285,73.64,mango,0.654,232.42,7.21
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize,0.502,224.9,7.59
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,0.788,48.81,5.0
116,52,52,24.69,65.21,6.973,64.1,maize,0.494,17.13,9.16
77,60,36,25.92,95.95,6.139,161.25,rice,0.511,71.53,3.47
2,47,15,29.86860065,85.99127934,6.401455706,58.41394143,mungbean,0.421,124.57,5.13
20,28,26,26.37978453,91.49882979,5.547594847,167.0470997,coconut,0.735,85.54,4.41
28,75,21,24.7741949,50.54621094,6.007508163,114.2821387,pigeonpeas,0.335,213.1,4.97
80,33,53,25.24,72.23,5.943,221.4,durian,0.714,202.63,1.41
71,40,59,29.03,71.74,6.737,164.82,pomelo,0.571,220.39,1.35
96,35,60,25.75,74.21,6.698,201.66,durian,0.777,266.26,8.86
125,59,66,29.46,82.75,6.349,98.85,banana,0.689,113.43,4.8
79,38,43,25.54,65.57,7.116,96.71,cassava,0.594,195.06,3.96
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,mungbean,0.456,245.92,1.48
44,76,22,27.26458947,68.01232937,7.775306272000001,68.91754359,blackgram,0.476,47.52,3.03
18,55,23,21.9989826,56.31006755,6.98571967,136.82743119999998,pigeonpeas,0.565,157.17,2.96
104,32,63,28.39,88.42,6.446,255.3,rubber,0.875,278.29,9.08
106,40,67,26.53,78.18,7.086,228.49,coconut,0.508,44.0,4.95
104,57,63,27.32,93.52,6.767,137.44,rice,0.757,3.33,2.98
36,61,21,34.53823889,39.04468913,5.617008201,168.5948318,pigeonpeas,0.401,321.38,9.61
84,36,45,24.45,73.14,6.806,111.35,sweet potato,0.508,281.84,6.0
42,43,42,25.06,73.01,6.524,149.13,pomelo,0.556,171.6,2.59
83,41,52,28.74,78.14,5.881,160.71,cacao,0.705,78.42,14.79
109,34,49,27.2,80.95,6.599,257.62,durian,0.761,232.44,5.36
96,18,50,25.3310446,84.30533791,6.904241707000001,41.53218699,watermelon,0.392,137.21,4.37
93,36,47,31.68,69.24,6.829,174.76,sweet potato,0.428,187.29,1.02
46,45,49,28.82,84.52,6.324,191.16,abaca,0.771,425.05,11.63
39,32,53,24.92,72.66,6.105,180.84,pomelo,0.778,3.0,6.49
60,58,51,42.07213781,92.92203105,6.840802254,165.7412972,papaya,0.556,99.07,2.96
77,31,40,28.94,76.39,5.885,148.2,mango,0.691,126.59,5.88
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,mungbean,0.494,33.7,4.89
